capacity,fitness,generation
5835.294117647059,inf,9
1035.2941176470588,inf,9
6435.294117647059,inf,9
8764.70588235294,9.55272088605972,9
9611.764705882353,25.644520401523657,9
8800.0,9.310180205358037,9
9858.823529411764,73.1462289046178,9
3964.705882352941,inf,9
6894.117647058823,2.6228139304942353,9
4741.176470588235,inf,9
6082.35294117647,inf,9
5235.294117647059,inf,9
4141.176470588235,inf,9
2270.5882352941176,inf,9
2835.2941176470586,inf,9
5905.882352941177,inf,9
2341.176470588235,inf,9
8270.588235294119,5.975350534824747,9
6647.058823529412,inf,10
9717.64705882353,44.62242168168181,10
9611.764705882353,25.644520401523657,10
8270.588235294119,5.975350534824747,10
6752.941176470588,2.385010858043371,10
6894.117647058823,2.6228139304942353,10
8764.70588235294,9.55272088605972,10
6752.941176470588,2.385010858043371,10
6752.941176470588,2.385010858043371,10
8800.0,9.310180205358037,10
6752.941176470588,2.385010858043371,10
6752.941176470588,2.385010858043371,10
6752.941176470588,2.385010858043371,10
1035.2941176470588,inf,10
6647.058823529412,inf,10
1776.4705882352941,inf,10
6752.941176470588,2.385010858043371,10
6752.941176470588,2.385010858043371,10
6752.941176470588,2.385010858043371,10
6752.941176470588,2.385010858043371,10
6752.941176470588,2.385010858043371,10
7317.64705882353,3.271191787957197,10
2658.823529411765,inf,10
6752.941176470588,2.385010858043371,10
8058.823529411765,5.004326732400478,10
6541.176470588235,inf,10
3894.1176470588234,inf,10
6752.941176470588,2.385010858043371,10
5094.117647058823,inf,10
9752.941176470587,43.05713977397818,10
7035.294117647059,2.7847385638942983,10
7988.235294117647,5.046469757775672,10
6752.941176470588,2.385010858043371,11
6752.941176470588,2.385010858043371,11
6752.941176470588,2.385010858043371,11
8976.470588235294,11.473209962186422,11
6752.941176470588,2.385010858043371,11
6752.941176470588,2.385010858043371,11
6752.941176470588,2.385010858043371,11
9011.764705882353,11.233592068011784,11
6752.941176470588,2.385010858043371,11
6752.941176470588,2.385010858043371,11
6752.941176470588,2.385010858043371,11
6752.941176470588,2.385010858043371,11
6894.117647058823,2.6228139304942353,11
6752.941176470588,2.385010858043371,11
6752.941176470588,2.385010858043371,11
6752.941176470588,2.385010858043371,11
6894.117647058823,2.6228139304942353,11
7847.058823529412,4.62267573515628,11
6682.35294117647,inf,11
8200.0,5.776044786706746,11
7847.058823529412,4.62267573515628,11
7176.470588235294,3.114351845026216,11
6752.941176470588,2.385010858043371,11
7035.294117647059,2.7847385638942983,11
6752.941176470588,2.385010858043371,11
6752.941176470588,2.385010858043371,11
6752.941176470588,2.385010858043371,11
6752.941176470588,2.385010858043371,11
2447.0588235294117,inf,11
8058.823529411765,5.004326732400478,11
6752.941176470588,2.385010858043371,11
6752.941176470588,2.385010858043371,11
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
2658.823529411765,inf,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
7317.64705882353,3.271191787957197,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
5552.941176470588,inf,12
6752.941176470588,2.385010858043371,12
6894.117647058823,2.6228139304942353,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
6752.941176470588,2.385010858043371,12
