width,thickness,wec_mass,fitness,generation
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,1.956078431372549,71176.4705882353,[[0.05121097]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
16.549019607843135,2.508235294117647,71176.4705882353,[[0.32927323]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.313725490196078,2.508235294117647,71176.4705882353,[[0.00159085]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
5.254901960784314,2.508235294117647,184117.64705882352,[[0.19334024]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.313725490196078,2.508235294117647,184117.64705882352,[[0.17403569]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
4.0,2.508235294117647,71176.4705882353,[[0.00021952]],84
